last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent,isolated_power,xba,xslg,woba,xwoba,xobp,xiso,
Gonsolin, Tony,664062,2021,.202,.369,.314,.167,.202,.333,.305,.295,.317,.131,
Ponce, Cody,664074,2021,.344,.613,.380,.269,.269,.475,.413,.344,.321,.206,
Cleavinger, Garrett,664076,2021,.290,.493,.393,.203,.224,.403,.384,.336,.354,.179,
Poppen, Sean,664092,2021,.316,.469,.391,.153,.286,.450,.367,.351,.364,.164,
Effross, Scott,664123,2021,.250,.423,.293,.173,.205,.346,.304,.262,.256,.141,
Fairbanks, Pete,664126,2021,.241,.331,.328,.090,.196,.305,.294,.269,.290,.108,
Hartlieb, Geoff,664129,2021,.278,.417,.480,.139,.227,.310,.408,.363,.444,.083,
Brubaker, JT,664141,2021,.254,.480,.316,.226,.252,.440,.340,.329,.318,.188,
Lucchesi, Joey,664192,2021,.245,.417,.299,.172,.222,.383,.310,.296,.288,.160,
Clarke, Taylor,664199,2021,.291,.436,.340,.145,.264,.440,.331,.323,.316,.176,
Maton III, Phil,664208,2021,.256,.425,.347,.169,.209,.342,.335,.294,.311,.133,
Valdez, Framber,664285,2021,.220,.327,.313,.107,.231,.343,.288,.301,.324,.112,
Javier, Cristian,664299,2021,.186,.355,.300,.169,.221,.416,.291,.327,.331,.195,
Yajure, Miguel,664337,2021,.283,.667,.368,.384,.306,.634,.428,.428,.388,.327,
Urquidy, Jose,664353,2021,.218,.406,.255,.188,.244,.434,.282,.307,.281,.190,
Newsome, Ljay,664714,2021,.317,.635,.333,.318,.275,.558,.405,.364,.317,.283,
Cousins, Jake,664776,2021,.158,.267,.312,.109,.179,.310,.272,.295,.331,.131,
Helsley, Ryan,664854,2021,.227,.341,.325,.114,.247,.414,.295,.332,.346,.168,
Lawrence, Justin,664875,2021,.333,.413,.465,.080,.248,.339,.390,.354,.420,.092,
Keller, Kyle,664918,2021,.234,.500,.368,.266,.218,.423,.369,.339,.354,.205,
Misiewicz, Anthony,664948,2021,.280,.431,.326,.151,.254,.426,.324,.313,.304,.173,
Kremer, Dean,665152,2021,.292,.588,.363,.296,.278,.542,.397,.379,.352,.264,
Castro, Kervin,665645,2021,.260,.300,.304,.040,.244,.383,.263,.303,.311,.139,
Cabrera, Edward,665795,2021,.247,.505,.392,.258,.283,.540,.387,.415,.420,.257,
Oviedo, Luis,665854,2021,.282,.470,.415,.188,.256,.448,.383,.371,.398,.191,
Anderson, Ian,666120,2021,.221,.371,.297,.150,.241,.414,.293,.319,.318,.173,
Garrett, Braxton,666129,2021,.318,.447,.403,.129,.298,.438,.377,.371,.399,.139,
Manning, Matt,666159,2021,.279,.445,.343,.166,.286,.463,.340,.353,.353,.177,
Thompson, Mason,666168,2021,.311,.476,.397,.165,.263,.405,.380,.337,.362,.142,
Luzardo, Jesus,666200,2021,.280,.524,.362,.244,.255,.460,.375,.349,.344,.205,
Manoah, Alek,666201,2021,.192,.314,.290,.122,.199,.321,.273,.281,.297,.122,
Muller, Kyle,666205,2021,.202,.295,.310,.093,.216,.352,.275,.305,.328,.136,
Doval, Camilo,666808,2021,.192,.333,.266,.141,.201,.333,.257,.262,.275,.132,
Nance, Tommy,667297,2021,.227,.418,.323,.191,.257,.418,.322,.340,.349,.161,
Sanchez, Miguel,667376,2021,.267,.446,.358,.179,.274,.458,.343,.362,.373,.185,
King, John,667463,2021,.233,.330,.295,.097,.232,.340,.276,.282,.296,.108,
Dugger, Robert,667498,2021,.324,.533,.388,.209,.299,.463,.391,.362,.372,.164,
Tyler, Kyle,667725,2021,.190,.286,.308,.096,.198,.343,.271,.294,.314,.146,
Plesac, Zach,668676,2021,.248,.437,.298,.189,.255,.456,.314,.325,.305,.201,
Gallen, Zac,668678,2021,.233,.413,.310,.180,.231,.383,.313,.306,.311,.152,
Scrubb, Andre,668687,2021,.214,.443,.337,.229,.260,.524,.336,.387,.379,.264,
Kranick, Max,668820,2021,.301,.468,.385,.167,.259,.394,.364,.327,.354,.135,
Wilson, Bryse,669060,2021,.290,.505,.335,.215,.285,.503,.353,.358,.336,.218,
Zimmermann, Bruce,669145,2021,.291,.492,.347,.201,.294,.531,.359,.378,.353,.238,
May, Dustin,669160,2021,.186,.349,.247,.163,.206,.359,.255,.271,.258,.153,
Heasley, Jon,669169,2021,.278,.537,.339,.259,.296,.591,.371,.400,.356,.295,
Burnes, Corbin,669203,2021,.201,.273,.248,.072,.181,.257,.232,.219,.230,.076,
Akin, Keegan,669211,2021,.290,.491,.356,.201,.264,.470,.361,.349,.337,.206,
Morgan, Eli,669212,2021,.259,.500,.306,.241,.264,.507,.343,.349,.314,.244,
Menez, Conner,669214,2021,.276,.466,.306,.190,.262,.358,.325,.294,.304,.096,
Campbell, Paul,669294,2021,.288,.486,.355,.198,.265,.486,.363,.355,.337,.221,
Gilbert, Logan,669302,2021,.241,.425,.290,.184,.242,.428,.305,.311,.294,.185,
Wells, Tyler,669330,2021,.192,.365,.237,.173,.223,.421,.258,.294,.267,.198,
Skubal, Tarik,669373,2021,.245,.476,.306,.231,.267,.509,.332,.357,.328,.242,
Lambert, Jimmy,669424,2021,.314,.549,.400,.235,.316,.583,.402,.417,.404,.267,
Rogers, Trevor,669432,2021,.218,.318,.287,.100,.223,.344,.270,.284,.296,.121,
Bieber, Shane,669456,2021,.229,.373,.299,.144,.224,.385,.294,.298,.295,.161,
Barlow, Joe,669618,2021,.124,.216,.216,.092,.205,.356,.200,.286,.290,.151,
Bender, Anthony,669622,2021,.207,.350,.287,.143,.207,.311,.275,.270,.293,.104,
Long, Sammy,669674,2021,.237,.410,.313,.173,.237,.400,.313,.315,.314,.163,
