last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent,isolated_power,xba,xslg,woba,xwoba,xobp,xiso,
Kaprielian, James,621076,2021,.233,.430,.301,.197,.240,.438,.314,.324,.310,.198,
Eflin, Zach,621107,2021,.276,.461,.305,.185,.257,.416,.325,.303,.289,.158,
Buehler, Walker,621111,2021,.199,.329,.254,.130,.218,.345,.255,.273,.274,.127,
Blackburn, Paul,621112,2021,.319,.534,.366,.215,.301,.469,.383,.354,.349,.168,
Burr, Ryan,621114,2021,.224,.320,.331,.096,.225,.324,.298,.306,.343,.099,
McCullers Jr., Lance,621121,2021,.205,.324,.304,.119,.209,.315,.283,.285,.309,.106,
Cody, Kyle,621129,2021,.327,.531,.382,.204,.295,.516,.388,.370,.354,.221,
Kriske, Brooks,621139,2021,.362,.915,.429,.553,.230,.503,.536,.353,.326,.273,
Mills, Alec,621219,2021,.291,.451,.344,.160,.281,.430,.343,.334,.338,.149,
Alvarado, Jose,621237,2021,.213,.325,.382,.112,.202,.305,.322,.313,.374,.103,
Diaz, Edwin,621242,2021,.195,.285,.292,.090,.174,.265,.264,.251,.278,.091,
Berrios, Jose,621244,2021,.223,.380,.280,.157,.242,.408,.286,.311,.302,.166,
Garza Jr., Ralph,621248,2021,.214,.411,.307,.197,.237,.400,.309,.317,.327,.164,
Underwood Jr., Duane,621249,2021,.270,.439,.338,.169,.277,.443,.333,.344,.347,.166,
Wittgren, Nick,621295,2021,.261,.487,.310,.226,.287,.511,.331,.354,.337,.224,
Minter, A.J.,621345,2021,.226,.349,.294,.123,.213,.319,.282,.269,.285,.106,
Clay, Sam,621348,2021,.296,.409,.383,.113,.270,.415,.342,.336,.362,.145,
Borucki, Ryan,621366,2021,.214,.429,.306,.215,.234,.415,.318,.326,.327,.181,
Hearn, Taylor,621368,2021,.247,.424,.320,.177,.257,.434,.321,.335,.333,.177,
Castro, Anthony,621593,2021,.237,.433,.312,.196,.220,.386,.314,.300,.305,.166,
Young, Alex,622065,2021,.307,.538,.386,.231,.284,.483,.389,.365,.372,.199,
Wood, Alex,622072,2021,.236,.372,.308,.136,.240,.377,.298,.305,.311,.137,
Almonte, Yency,622075,2021,.260,.475,.369,.215,.251,.433,.361,.351,.366,.182,
Antone, Tejay,622088,2021,.152,.250,.258,.098,.198,.351,.232,.288,.293,.152,
Zimmer, Kyle,622092,2021,.243,.397,.341,.154,.232,.404,.321,.334,.339,.172,
Smith, Drew,622098,2021,.192,.397,.279,.205,.217,.410,.283,.303,.304,.193,
Sborz, Josh,622250,2021,.234,.383,.327,.149,.227,.365,.310,.303,.322,.138,
Staumont, Josh,622251,2021,.183,.294,.273,.111,.223,.385,.254,.303,.309,.162,
Tate, Dillon,622253,2021,.245,.394,.317,.149,.241,.369,.310,.314,.324,.128,
Rodriguez, Jefry,622446,2021,.266,.468,.384,.202,.272,.472,.371,.376,.389,.200,
Castillo, Luis,622491,2021,.255,.402,.328,.147,.233,.348,.318,.294,.312,.115,
Crismatt, Nabil,622503,2021,.274,.420,.339,.146,.250,.394,.330,.312,.319,.144,
Senzatela, Antonio,622608,2021,.287,.421,.327,.134,.274,.415,.323,.319,.318,.142,
Hernandez, Elieser,622694,2021,.265,.529,.316,.264,.249,.472,.353,.330,.306,.223,
Diaz, Miguel,622766,2021,.204,.434,.291,.230,.254,.461,.312,.346,.336,.207,
Perdomo, Angel,622780,2021,.200,.433,.380,.233,.181,.419,.350,.341,.366,.238,
Sewald, Paul,623149,2021,.176,.339,.250,.163,.182,.361,.250,.262,.257,.178,
Flexen, Chris,623167,2021,.268,.414,.309,.146,.261,.427,.311,.317,.305,.166,
Hader, Josh,623352,2021,.127,.193,.228,.066,.154,.239,.200,.229,.253,.085,
Wieck, Brad,623364,2021,.164,.213,.282,.049,.165,.255,.237,.251,.283,.090,
Anderson, Drew,623454,2021,.238,.298,.297,.060,.258,.415,.267,.319,.315,.157,
Phillips, Evan,623465,2021,.212,.308,.293,.096,.285,.407,.263,.332,.359,.122,
Herget, Jimmy,623474,2021,.286,.443,.346,.157,.247,.343,.335,.291,.314,.096,
Goudeau, Ashton,623485,2021,.202,.370,.305,.168,.223,.352,.294,.299,.330,.130,
Suarez, Ranger,624133,2021,.194,.255,.266,.061,.205,.278,.235,.251,.278,.073,
Thompson, Keegan,624522,2021,.233,.408,.333,.175,.252,.441,.326,.350,.358,.189,
Gonzalez, Victor,624647,2021,.244,.359,.348,.115,.257,.375,.313,.327,.361,.119,
Lopez, Reynaldo,625643,2021,.205,.420,.248,.215,.237,.414,.280,.299,.280,.177,
Thorpe, Lewis,626929,2021,.237,.390,.318,.153,.271,.428,.310,.343,.348,.158,
Maeda, Kenta,628317,2021,.258,.433,.320,.175,.232,.382,.325,.298,.298,.150,
Iglesias, Raisel,628452,2021,.207,.367,.242,.160,.190,.331,.261,.243,.227,.141,
Urias, Julio,628711,2021,.219,.349,.263,.130,.219,.361,.266,.273,.266,.141,
Crowe, Wil,640444,2021,.276,.501,.361,.225,.255,.456,.369,.348,.345,.201,
Finnegan, Kyle,640448,2021,.251,.404,.340,.153,.221,.361,.324,.299,.318,.140,
Manaea, Sean,640455,2021,.255,.415,.304,.160,.249,.419,.310,.313,.300,.170,
Puk, A.J.,640462,2021,.310,.379,.385,.069,.262,.358,.341,.313,.342,.097,
Stewart, Kohl,640464,2021,.309,.455,.391,.146,.280,.443,.373,.358,.371,.163,
Alzolay, Adbert,640470,2021,.236,.439,.291,.203,.249,.452,.312,.327,.307,.203,
Lopez, Pablo,641154,2021,.233,.385,.292,.152,.230,.374,.293,.290,.290,.144,
Alexander, Tyler,641302,2021,.255,.429,.306,.174,.250,.429,.315,.318,.303,.179,
Anderson, Shaun,641312,2021,.330,.514,.403,.184,.267,.438,.391,.341,.348,.171,
Bickford, Phil,641360,2021,.197,.350,.280,.153,.210,.361,.263,.275,.294,.150,
Bowden, Ben,641386,2021,.288,.503,.373,.215,.240,.419,.374,.327,.336,.179,
Brentz, Jake,641394,2021,.197,.345,.317,.148,.221,.368,.297,.322,.343,.148,
Brogdon, Connor,641401,2021,.221,.362,.281,.141,.214,.333,.277,.265,.276,.119,
Castano, Daniel,641447,2021,.268,.451,.337,.183,.301,.505,.342,.379,.370,.204,
Cortes Jr., Nestor,641482,2021,.217,.386,.273,.169,.215,.372,.285,.282,.272,.157,
Dunning, Dane,641540,2021,.275,.427,.344,.152,.266,.419,.336,.333,.338,.154,
Duplantier, Jon,641541,2021,.322,.627,.414,.305,.280,.540,.441,.396,.384,.261,
Foster, Matt,641582,2021,.274,.478,.333,.204,.276,.505,.346,.362,.337,.229,
Greene, Conner,641632,2021,.308,.423,.388,.115,.251,.394,.352,.321,.340,.142,
